alert_id,customer_id,alert_type,risk_band,amount_gbp,status,triggered_date,assigned_analyst
ALT-00001,CUST-1042,STRUCTURING,HIGH,9800,UNDER_REVIEW,3/1/2024,j.rahman
ALT-00002,CUST-2187,APP_SCAM,HIGH,24500,UNDER_REVIEW,3/2/2024,s.okafor
ALT-00003,CUST-3301,UNUSUAL_ACTIVITY,MEDIUM,4200,NEW,3/2/2024,
ALT-00004,CUST-1042,STRUCTURING,HIGH,9600,UNDER_REVIEW,3/3/2024,j.rahman
ALT-00005,CUST-4455,SANCTIONS_HIT,HIGH,78000,ESCALATED,3/3/2024,t.bergmann
ALT-00006,CUST-5509,APP_SCAM,MEDIUM,3750,NEW,3/4/2024,
ALT-00007,CUST-6612,ACCOUNT_TAKEOVER,HIGH,15200,UNDER_REVIEW,3/4/2024,j.rahman
ALT-00008,CUST-7734,UNUSUAL_ACTIVITY,LOW,1100,CLOSED,3/5/2024,p.nwosu
ALT-00009,CUST-2187,APP_SCAM,HIGH,31000,UNDER_REVIEW,3/5/2024,s.okafor
ALT-00010,CUST-8821,STRUCTURING,MEDIUM,7400,NEW,3/6/2024,
ALT-00011,CUST-9043,SANCTIONS_HIT,HIGH,145000,ESCALATED,3/6/2024,t.bergmann
ALT-00012,CUST-1120,UNUSUAL_ACTIVITY,LOW,850,CLOSED,3/7/2024,p.nwosu
ALT-00013,CUST-3301,ACCOUNT_TAKEOVER,MEDIUM,6800,NEW,3/7/2024,
ALT-00014,CUST-4455,SANCTIONS_HIT,HIGH,22000,UNDER_REVIEW,3/8/2024,t.bergmann
ALT-00015,CUST-1234,APP_SCAM,MEDIUM,5100,CLOSED,3/8/2024,s.okafor
ALT-00016,CUST-5678,STRUCTURING,LOW,1950,CLOSED,3/9/2024,p.nwosu
ALT-00017,CUST-6612,UNUSUAL_ACTIVITY,MEDIUM,3300,NEW,3/9/2024,
ALT-00018,CUST-7890,APP_SCAM,HIGH,47500,ESCALATED,3/10/2024,s.okafor
ALT-00019,CUST-2345,STRUCTURING,MEDIUM,8750,NEW,3/10/2024,
ALT-00020,CUST-9876,ACCOUNT_TAKEOVER,LOW,900,CLOSED,3/11/2024,p.nwosu
ALT-A4821,CUST-8831,UNUSUAL_ACTIVITY,HIGH,47500,NEW,3/11/2024,
ALT-00022,CUST-3456,SANCTIONS_HIT,MEDIUM,12000,NEW,3/12/2024,
ALT-00023,CUST-4567,APP_SCAM,HIGH,18900,UNDER_REVIEW,3/12/2024,j.rahman
ALT-00024,CUST-5670,STRUCTURING,LOW,2400,CLOSED,3/13/2024,p.nwosu
ALT-00025,CUST-6781,UNUSUAL_ACTIVITY,MEDIUM,4900,NEW,3/13/2024,
